FROM NW,FROM RANK
retinopathy of prematurity,RETINOPATHY
alkalosis,RESPIRATORY ALKALOSIS
Back Ache,BACK PAIN
agitated,AGITATION
abnormal movements,MOVEMENT DISORDER
hypoglycaemia neonatal,HYPOGLYCAEMIA
Gastrointestinal Obstruction,SMALL INTESTINAL OBSTRUCTION
peritonitis,PERIOSTITIS
abdominal distension,ABDOMINAL DISCOMFORT
decreased body temperature,BODY TEMPERATURE INCREASED
adynamic ileus,ILEUS PARALYTIC
sepsis,PSEUDOMONAL SEPSIS
neonatal respiratory distress syndrome,ACUTE RESPIRATORY DISTRESS SYNDROME
Acute Respiratory Distress Syndrome,RESPIRATORY DISTRESS
pelvic infection,PELVIC PAIN
intestinal perforation,GASTRIC PERFORATION
Disorder Lung,RESPIRATORY DISORDER
metabolic acidosis,ACIDOSIS
Bladder inflammation,BLADDER IRRITATION
sinus tachycardia,SINUS ARRHYTHMIA
disease of liver,LIVER DISORDER
Aspartate Aminotransferase Increase,ALANINE AMINOTRANSFERASE INCREASED
eruption,FIXED ERUPTION
acute pancreatitis,PANCREATITIS
malnourished,MALNUTRITION
anaemia,IRON DEFICIENCY ANAEMIA
increased white blood cell count,WHITE BLOOD CELL COUNT INCREASED
encephalopathy,HYPERTENSIVE ENCEPHALOPATHY
Anorexia,HYPOREFLEXIA
Hallucination,"HALLUCINATION, AUDITORY"
chronic obstructive airway disease,OBSTRUCTIVE AIRWAYS DISORDER
back injury,BACK PAIN
erythema,ERYTHEMA OF EYELID
erosive gastritis,GASTRITIS
gastroenteritis viral,GASTRITIS VIRAL
Lymphocytes decreased,LYMPHOCYTE COUNT INCREASED
upper gastrointestinal bleeding,UPPER GASTROINTESTINAL HAEMORRHAGE
gastroenteritis,GASTROENTERITIS BACTERIAL
septic shock,SEPSIS
bladder retention,BLADDER DYSFUNCTION
Pain,DISCOMFORT
idiopathic thrombocytopenic purpura,PURPURA NON-THROMBOCYTOPENIC
pneumonia staphylococcal,PNEUMONIA
conjunctivitis,CONJUNCTIVITIS INFECTIVE
glomerulonephritis,GLOMERULOSCLEROSIS
duodenal ulcer,DUODENITIS
bleeding Vaginal,VAGINAL HAEMORRHAGE
blurred vision,VISION BLURRED
thrombotic microangiopathy,MICROANGIOPATHY
pleurisy,PLEURAL RUB
Bleeding hemorrhoids,HAEMORRHOIDS
aspiration pneumonia,PNEUMONIA
perirectal abscess,PERITONSILLAR ABSCESS
Candida Infection,FUNGAL INFECTION
Abnormal Gait,GAIT DISTURBANCE
Infection Viral,VIRAL INFECTION
allergic dermatitis,DERMATITIS
constipated,CONSTIPATION
deafness,DEAFNESS TRANSITORY
eye pain,EYE IRRITATION
Chronic Kidney Disease,RENAL FAILURE CHRONIC
acute kidney failure,RENAL FAILURE ACUTE
Cholangitis,CHOLANGITIS SCLEROSING
dermatitis medicamentosa,DERMATITIS
Deafness neurosensory,DEAFNESS TRANSITORY
fungal disease,FUNGAL RASH
nasal sinus congestion,NASAL CONGESTION
Near Syncope,SYNCOPE
haematoma,HAEMANGIOMA
coated tongue,TONGUE COATED
Neutropenia,FEBRILE NEUTROPENIA
wheeze,WHEEZING
haemorrhage rectum,RECTAL HAEMORRHAGE
abdominal pain,ABDOMINAL TENDERNESS
chest pain,CHEST DISCOMFORT
Mycobacterium tuberculosis infection,MYCOBACTERIAL INFECTION
laryngeal neoplasia,LARYNGEAL DISORDER
psychoses,PSYCHOTIC BEHAVIOUR
abscess,ABSCESS STERILE
attempted suicide,SUICIDAL BEHAVIOUR
nervous tension,TENSION
abdominal pain upper,ABDOMINAL DISCOMFORT
Embolism pulmonary,EMBOLISM
arteriosclerotic heart disease,ARTERIOSCLEROSIS
Paraesthesia,PARAESTHESIA ORAL
neoplasia,BENIGN NEOPLASM
migraine,HEADACHE
intervertebral disc disorder,INTERVERTEBRAL DISC PROTRUSION
High blood pressure,BLOOD PRESSURE INCREASED
diverticulosis,DIVERTICULUM
Arthritis rheumatoid,RHEUMATOID ARTHRITIS
Abnormal vision,ABNORMAL SENSATION IN EYE
Osteoarthritis,OSTEOARTHROPATHY
pleural pain,PLEURAL DISORDER
breast pain,NIPPLE PAIN
Breast cyst,CYST
osteomalacia,OSTEODYSTROPHY
abuse,PHYSICAL ABUSE
cholecystitis,CHOLECYSTITIS CHRONIC
Extrasystoles Ventricular,VENTRICULAR EXTRASYSTOLES
acne rosacea,ROSACEA
Incontinence,URGE INCONTINENCE
gall bladder,GALLBLADDER DISORDER
Diabetic Retinopathy,RETINOPATHY
blepharitis,BLEPHARITIS ALLERGIC
aneurysm,AORTIC ANEURYSM
Superficial thrombophlebitis,THROMBOPHLEBITIS SUPERFICIAL
Decreased Libido,LIBIDO INCREASED
kidney failure,RENAL IMPAIRMENT
Breast Lump,BENIGN BREAST NEOPLASM
Diabetes,DIABETES MELLITUS
lung fibrosis,FIBROSIS
collagenvascular disease,COLLAGEN DISORDER
convulsion,CLONIC CONVULSION
iron deficiency anaemia,IRON DEFICIENCY
Cardiomyopathy,CARDIOMEGALY
femur fracture,OSTEOPOROTIC FRACTURE
fascitis plantar,PLANTAR FASCIITIS
glaucoma,OPEN ANGLE GLAUCOMA
mitral valve disease NOS,MITRAL VALVE INCOMPETENCE
breast dysplasia,DYSPLASIA
Phlebitis,PHLEBITIS SUPERFICIAL
bone marrow failure,BONE MARROW TOXICITY
adrenal insufficiency,ADRENOCORTICAL INSUFFICIENCY ACUTE
polyneuropathy,NEUROPATHY
Hypotension Orthostatic,ORTHOSTATIC HYPOTENSION
Infection Urinary Tract,URINARY TRACT INFECTION
keratitis sicca,KERATOCONJUNCTIVITIS SICCA
Ataxia,VESTIBULAR ATAXIA
cerebral haemorrhage,HAEMORRHAGE
elevated cholesterol,BLOOD CHOLESTEROL INCREASED
eye swelling,EYE PAIN
facial palsy,FACIAL NERVE DISORDER
ureteral obstruction,URINARY TRACT OBSTRUCTION
disorder Renal,RENAL IMPAIRMENT
delirium tremens,DELIRIUM
psoriatic arthritis,PSORIASIS
flu,INFLUENZA LIKE ILLNESS
carcinoid syndrome,CARCINOID TUMOUR
Pleural Effusion,PLEURAL DISORDER
Diabetic Nephropathy,NEPHROPATHY
Intervertebral Disc Herniation,INTERVERTEBRAL DISC PROTRUSION
aortic regurgitation,REGURGITATION
Neuralgia,FACIAL NEURALGIA
hemiplegia,HEMIPLEGIA TRANSIENT
pneumonia Klebsiella,KLEBSIELLA INFECTION
abnormal ECG,ELECTROCARDIOGRAM ABNORMAL
Bone Fracture Spontaneous,OSTEOPOROTIC FRACTURE
thyroid neoplasia,THYROID DISORDER
dental abscess,ABSCESS
dental pain,ORAL PAIN
retinal bleeding,RETINAL HAEMORRHAGE
gingival pain,GINGIVITIS
candidiasis of mouth,CANDIDIASIS
tooth disease,TOOTH DISORDER
mouth pain,PAIN IN JAW
lung neoplasm malignant,LUNG NEOPLASM
infection,WOUND INFECTION
blindness,ACQUIRED NIGHT BLINDNESS
Acute myeloblastic leukemia,ACUTE LEUKAEMIA
abnormal EEG,ELECTROENCEPHALOGRAM ABNORMAL
gastric inflammation,GASTRIC DISORDER
Transfusion reaction,INFUSION RELATED REACTION
eating disorder,APPETITE DISORDER
proteinuria,PROTEIN URINE ABSENT
increased platelet count,PLATELET COUNT NORMAL
intraocular inflammation,EYE INFLAMMATION
weight gain,ABNORMAL WEIGHT GAIN
Convulsions Grand Mal,GRAND MAL CONVULSION
salivary gland inflammation,SALIVARY GLAND DISORDER
pregnancy induced hypertension,GESTATIONAL HYPERTENSION
hernia hiatal,HERNIA
tardive dyskinesia,DYSKINESIA
uterine infection,UTERINE PAIN
Ejaculation Premature,EJACULATION DELAYED
excessive thirst,THIRST
ear ache,EAR PAIN
elevated erythrocyte sedimentation rate,RED BLOOD CELL SEDIMENTATION RATE INCREASED
contracture,JOINT CONTRACTURE
spondylitis,SPONDYLOSIS
Drug addiction,SUBSTANCE ABUSE
monoclonal gammopathy,GAMMOPATHY
cardiac disease,CARDIOVASCULAR DISORDER
pain pelvic,PELVIC PAIN
panic disorder,PANIC ATTACK
pancreatitis,PANCREATIC PSEUDOCYST
allergic rhinitis,RHINITIS
otitis media,OTITIS MEDIA ACUTE
faecal incontinence,URGE INCONTINENCE
carpal tunnel,CARPAL TUNNEL SYNDROME
neuropathy,NEUROPATHY PERIPHERAL
dysuria,DYSPHEMIA
Decreased hearing,SUDDEN HEARING LOSS
mouth bleeding,MOUTH HAEMORRHAGE
embolism,FAT EMBOLISM
ear infection,EAR PAIN
sinus bradycardia,SINUS ARRHYTHMIA
external ear infection,EAR INFECTION
muscle inflammation,INFLAMMATION
elevated prostate specific antigen,PROSTATIC SPECIFIC ANTIGEN INCREASED
mouth ulcer,ULCER
gastroduodenal ulcer,ULCER
acute bronchitis,BRONCHITIS
esophageal ulcer,GASTRIC ULCER
metabolic alkalosis,ALKALOSIS
Arrhythmia,SINUS ARRHYTHMIA
Spinal fracture,PATHOLOGICAL FRACTURE
chronic sinusitis,SINUSITIS
ulcer,SKIN ULCER
